Internship name,Internship details page link,Internship organization,Internship organization page link,Location of internship,Start date of internship,Duration,Stipend,Application deadline,Number of applicants,Number of openings
 Marketing ,https://internshala.com/internship/detail/marketing-internship-in-khammam-at-byjus-the-learning-app1620226911, BYJU'S The Learning App ,https://internshala.com/internships/internship-at-BYJU'S The Learning App,Khammam, 15 Jun' 21 , 3 Months , 18000 /month,19/05/2021,No applicants yet, 4 
 Marketing ,https://internshala.com/internship/detail/marketing-internship-in-karimnagar-at-byjus-the-learning-app1620226861, BYJU'S The Learning App ,https://internshala.com/internships/internship-at-BYJU'S The Learning App,Karimnagar, 15 Jun' 21 , 3 Months , 18000 /month,19/05/2021,No applicants yet, 6 
 Marketing ,https://internshala.com/internship/detail/marketing-internship-in-kamareddy-at-byjus-the-learning-app1620226820, BYJU'S The Learning App ,https://internshala.com/internships/internship-at-BYJU'S The Learning App,Kamareddy, 15 Jun' 21 , 3 Months , 18000 /month,19/05/2021,No applicants yet, 6 
 Marketing ,https://internshala.com/internship/detail/marketing-internship-in-gadwal-at-byjus-the-learning-app1620226783, BYJU'S The Learning App ,https://internshala.com/internships/internship-at-BYJU'S The Learning App,Gadwal, 15 Jun' 21 , 3 Months , 18000 /month,19/05/2021,No applicants yet, 6 
 Marketing ,https://internshala.com/internship/detail/marketing-internship-in-bhupalpally-at-byjus-the-learning-app1620226693, BYJU'S The Learning App ,https://internshala.com/internships/internship-at-BYJU'S The Learning App,Bhupalpally, 15 Jun' 21 , 3 Months , 18000 /month,19/05/2021,No applicants yet, 6 
 Marketing ,https://internshala.com/internship/detail/marketing-internship-in-jangaon-at-byjus-the-learning-app1620226626, BYJU'S The Learning App ,https://internshala.com/internships/internship-at-BYJU'S The Learning App,Jangaon, 15 Jun' 21 , 3 Months , 18000 /month,19/05/2021,No applicants yet, 6 
 Marketing ,https://internshala.com/internship/detail/marketing-internship-in-jagtial-at-byjus-the-learning-app1620226516, BYJU'S The Learning App ,https://internshala.com/internships/internship-at-BYJU'S The Learning App,Jagtial, 15 Jun' 21 , 3 Months , 18000 /month,19/05/2021,No applicants yet, 6 
 Marketing ,https://internshala.com/internship/detail/marketing-internship-in-kothagudem-at-byjus-the-learning-app1620226313, BYJU'S The Learning App ,https://internshala.com/internships/internship-at-BYJU'S The Learning App,Kothagudem, 15 Jun' 21 , 3 Months , 18000 /month,19/05/2021,No applicants yet, 6 
 Marketing ,https://internshala.com/internship/detail/marketing-internship-in-adilabad-at-byjus-the-learning-app1620225986, BYJU'S The Learning App ,https://internshala.com/internships/internship-at-BYJU'S The Learning App,Adilabad, 15 Jun' 21 , 3 Months , 18000 /month,19/05/2021,No applicants yet, 6 
 Human Resources (HR) ,https://internshala.com/internship/detail/human-resources-hr-work-from-home-job-internship-at-zoomcar-india-private-limited1620206658, Zoomcar India Private Limited ,https://internshala.com/internships/internship-at-Zoomcar India Private Limited,Work From Home,Immediately, 6 Months , 5000 /month,19/05/2021,216 applicants, 2 
 Marketing ,https://internshala.com/internship/detail/marketing-internship-in-prakasam-nellore-at-byjus-the-learning-app1620200809, BYJU'S The Learning App ,https://internshala.com/internships/internship-at-BYJU'S The Learning App,Nellore, 15 Jun' 21 , 3 Months , 18000 /month,19/05/2021,27 applicants, 3 
 Marketing ,https://internshala.com/internship/detail/marketing-internship-in-multiple-locations-at-byjus-the-learning-app1620210661, BYJU'S The Learning App ,https://internshala.com/internships/internship-at-BYJU'S The Learning App,Vizianagaram, 15 Jun' 21 , 3 Months , 18000 /month,19/05/2021,No applicants yet, 6 
 Marketing ,https://internshala.com/internship/detail/marketing-internship-in-chitoor-at-byjus-the-learning-app1620210406, BYJU'S The Learning App ,https://internshala.com/internships/internship-at-BYJU'S The Learning App,Chitoor, 15 Jun' 21 , 3 Months , 18000 /month,19/05/2021,28 applicants, 2 
 Operations ,https://internshala.com/internship/detail/operations-internship-in-bangalore-at-urban-company1620206367, Urban Company ,https://internshala.com/internships/internship-at-Urban Company,Bangalore,Immediately, 3 Months , 7000 /month,19/05/2021,No applicants yet, 2 
 Marketing ,https://internshala.com/internship/detail/marketing-internship-in-bangalore-at-nykaa1620153052, Nykaa ,https://internshala.com/internships/internship-at-Nykaa,Bangalore, 5 Jun - 4 Jul' 21 , 2 Months , 3500-5000 /month,19/05/2021,54 applicants, 2 
 Mobile App Development ,https://internshala.com/internship/detail/mobile-app-development-work-from-home-job-internship-at-iit-bombay1620159800, IIT Bombay ,https://internshala.com/internships/internship-at-IIT Bombay,Work From Home,Immediately, 6 Months , 3000-7500 /month,19/05/2021,No applicants yet, 4 
 Marketing ,https://internshala.com/internship/detail/marketing-internship-in-guntur-at-byjus-the-learning-app1620201297, BYJU'S The Learning App ,https://internshala.com/internships/internship-at-BYJU'S The Learning App,Guntur, 15 Jun' 21 , 3 Months , 18000 /month,19/05/2021,No applicants yet, 4 
 Marketing ,https://internshala.com/internship/detail/marketing-internship-in-east-godavari-at-byjus-the-learning-app1620200524, BYJU'S The Learning App ,https://internshala.com/internships/internship-at-BYJU'S The Learning App,East Godavari, 15 Jun - 20 Jun' 21 , 3 Months , 18000 /month,19/05/2021,No applicants yet, 4 
 Marketing ,https://internshala.com/internship/detail/marketing-internship-in-vijayawada-at-byjus-the-learning-app1620200232, BYJU'S The Learning App ,https://internshala.com/internships/internship-at-BYJU'S The Learning App,Vijayawada, 15 Jun' 21 , 3 Months , 18000 /month,19/05/2021,No applicants yet, 3 
 Marketing ,https://internshala.com/internship/detail/marketing-internship-in-vishakhapatnam-at-byjus-the-learning-app1620199808, BYJU'S The Learning App ,https://internshala.com/internships/internship-at-BYJU'S The Learning App,Vishakhapatnam, 15 Jun - 20 Jun' 21 , 3 Months , 18000 /month,19/05/2021,No applicants yet, 5 
 Business Analytics ,https://internshala.com/internship/detail/business-analytics-work-from-home-job-internship-at-godrej-consumer-products-limited1620132911, Godrej Consumer Products Limited ,https://internshala.com/internships/internship-at-Godrej Consumer Products Limited,Work From Home,Immediately, 3 Months , 5000 /month,18/05/2021,289 applicants, 1 
 Web Development ,https://internshala.com/internship/detail/web-development-work-from-home-job-internship-at-iit-bombay1620158985, IIT Bombay ,https://internshala.com/internships/internship-at-IIT Bombay,Work From Home,Immediately, 6 Months , 2000-5000 /month,19/05/2021,32 applicants, 4 
